address,LATITUDE,LONGITUDE
684B EDGEDALE PLAINS,1.403027132,103.9150056
630 PASIR RIS DR 3,1.378382153,103.9410968
118 MARSILING RISE,1.438484294,103.7803814
42 JLN BAHAGIA,1.327149833,103.8569624
930 YISHUN CTRL 1,1.426915481,103.8373512
654C JURONG WEST ST 61,1.335844658,103.6972932
311 SHUNFU RD,1.350882203,103.8393397
17 CANTONMENT CL,1.273835569,103.8398443
565 PASIR RIS ST 51,1.36882714,103.9502962
478 SEMBAWANG DR,1.452452221,103.8164885
75 BEDOK NTH RD,1.327914779,103.9421444
284 YISHUN AVE 6,1.439698597,103.8388285
302 HOUGANG AVE 5,1.368518245,103.8945839
253 YISHUN RING RD,1.435074739,103.840795
472C FERNVALE ST,1.396315518,103.8811673
472C FERNVALE ST,1.396315522,103.8811673
668A JURONG WEST ST 64,1.341831445,103.7028808
31 TELOK BLANGAH RISE,1.272397327,103.8208327
26 JLN BERSEH,1.306163609,103.8577767
602 HOUGANG AVE 4,1.371232979,103.886918
232 BISHAN ST 22,1.358230533,103.8457053
232 BISHAN ST 22,1.358245182,103.8455043
954 HOUGANG AVE 9,1.376762777,103.8781083
954 HOUGANG AVE 9,1.376762776,103.8781083
70B TELOK BLANGAH HTS,1.276749457,103.8105415
688A CHOA CHU KANG DR,1.403963875,103.7505663
376 CLEMENTI AVE 4,1.318100065,103.7666926
568 HOUGANG ST 51,1.378091904,103.88899
80A LOR 4 TOA PAYOH,1.335291567,103.8492471
80A LOR 4 TOA PAYOH,1.335291574,103.8492471
80A LOR 4 TOA PAYOH,1.33529629,103.8492578
338C ANCHORVALE CRES,1.400000573,103.8900781
805B KEAT HONG CL,1.372747704,103.7431574
246 YISHUN AVE 9,1.435090858,103.842691
130 BT BATOK WEST AVE 6,1.35106126,103.7458574
472A FERNVALE ST,1.397402242,103.8813381
346 UBI AVE 1,1.325984436,103.899672
346 UBI AVE 1,1.325981655,103.8996734
115 BEDOK NTH RD,1.331433688,103.9368654
115 BEDOK NTH RD,1.33143368,103.9368654
5 BOON KENG RD,1.312654496,103.8725418
5 BOON KENG RD,1.312619852,103.8725251
5 BOON KENG RD,1.312640145,103.8724919
5 BOON KENG RD,1.316299968,103.8603975
5 BOON KENG RD,1.316299958,103.8603975
5 BOON KENG RD,1.312654496,103.8725418
239 PASIR RIS ST 21,1.373193235,103.9633846
766 CHOA CHU KANG NTH 5,1.393594979,103.7496962
53 LENGKOK BAHRU,1.288847235,103.8134506
141 TAMPINES ST 12,1.348248953,103.9449207
454 CHOA CHU KANG AVE 4,1.378986387,103.734822
205 PASIR RIS ST 21,1.366937094,103.9629394
218B BOON LAY AVE,1.350327074,103.7108889
135 CASHEW RD,1.374049157,103.7688851
807 WOODLANDS ST 81,1.442260272,103.7875172
210A COMPASSVALE LANE,1.384800806,103.9001055
818B CHOA CHU KANG AVE 1,1.377258748,103.7482919
22 BOON KENG RD,1.318176427,103.8614038
451 JURONG WEST ST 42,1.351878748,103.7185016
81 C'WEALTH CL,1.303787444,103.8003853
369 BT BATOK ST 31,1.36002946,103.7510723
310A ANG MO KIO AVE 1,1.364812552,103.8438442
310A ANG MO KIO AVE 1,1.364827262,103.8438393
666A JURONG WEST ST 65,1.339767995,103.7013798
666A JURONG WEST ST 65,1.339768,103.7013798
284 TAMPINES ST 22,1.349103845,103.9526282
284 TAMPINES ST 22,1.349103845,103.9526282
188D RIVERVALE DR,1.394952997,103.9040086
59C GEYLANG BAHRU,1.322210757,103.8685003
200D SENGKANG EAST RD,1.387261512,103.8930077
14 GHIM MOH RD,1.308846755,103.7891468
702 BEDOK RESERVOIR RD,1.337236504,103.9189244
232 BT BATOK EAST AVE 5,1.349336089,103.7549418
216D COMPASSVALE DR,1.39019937,103.8945759
212 TAMPINES ST 23,1.354434163,103.9544048
367A TAMPINES ST 34,1.357702341,103.9599545
365 CORPORATION DR,1.337725927,103.7201847
686 HOUGANG ST 61,1.375745444,103.8854128
447 BT PANJANG RING RD,1.383180217,103.7716038
158B RIVERVALE CRES,1.38841338,103.9066762
273C JURONG WEST AVE 3,1.351832419,103.7040078
407 SEMBAWANG DR,1.45332598,103.8168401
411 SEMBAWANG DR,1.452197464,103.8179323
491G TAMPINES ST 45,1.363611225,103.9543332
897B WOODLANDS DR 50,1.436051363,103.7939984
932 TAMPINES ST 91,1.34560021,103.9394413
624 YISHUN RING RD,1.418077891,103.8355829
122 TECK WHYE LANE,1.378518984,103.7496307
122 TECK WHYE LANE,1.37870202,103.7495296
663A PUNGGOL DR,1.400243477,103.91708
663A PUNGGOL DR,1.400243476,103.91708
663A PUNGGOL DR,1.400243476,103.91708
187 BT BATOK WEST AVE 6,1.346513441,103.7446144
104 BISHAN ST 12,1.345675021,103.8480329
427 SERANGOON CTRL,1.347788134,103.8751985
233 LOR 8 TOA PAYOH,1.338283659,103.858468
230 BT BATOK EAST AVE 3,1.347715409,103.7549948
151 BISHAN ST 11,1.345036332,103.8555592
151 BISHAN ST 11,1.345073219,103.8555423
151 BISHAN ST 11,1.345093759,103.8555248
350 ANG MO KIO ST 32,1.363713118,103.8500442
459 TAMPINES ST 42,1.358365079,103.954081
260 JURONG EAST ST 24,1.343721756,103.7402229
157D RIVERVALE CRES,1.388086614,103.9078891
464 PASIR RIS ST 41,1.372677077,103.9583592
330 SERANGOON AVE 3,1.34993697,103.8695629
10 CHAI CHEE RD,1.327275724,103.9248036
356B ADMIRALTY DR,1.449228692,103.8173757
469A SENGKANG WEST WAY,1.395895117,103.8780831
698B JURONG WEST CTRL 3,1.340651295,103.7075062
201 BOON LAY DR,1.343266151,103.7154119
25 SIN MING RD,1.354890923,103.8381899
25 SIN MING RD,1.354993048,103.8374735
225 LOR 8 TOA PAYOH,1.339507531,103.8559142
225 LOR 8 TOA PAYOH,1.339509223,103.8556468
562 HOUGANG ST 51,1.380932203,103.8891214
27 TOA PAYOH EAST,1.332270007,103.8563604
607 JURONG WEST ST 65,1.337974917,103.6996976
604 CHOA CHU KANG ST 62,1.398181376,103.7446307
604 CHOA CHU KANG ST 62,1.39817542,103.744674
51 CHAI CHEE ST,1.3288109,103.9221299
5 TOH YI DR,1.338202368,103.7745226
5 TOH YI DR,1.338192542,103.7745226
127 BT MERAH LANE 1,1.28532859,103.8033968
604 JURONG WEST ST 62,1.3386055,103.7000792
428 ANG MO KIO AVE 3,1.368939065,103.8544123
238 CHOA CHU KANG CTRL,1.379146259,103.74821
17 LOR 7 TOA PAYOH,1.336426604,103.8566081
171 LOR 1 TOA PAYOH,1.330685349,103.842659
642D PUNGGOL DR,1.39879751,103.9158457
854 YISHUN RING RD,1.416596919,103.8374029
770 WOODLANDS DR 60,1.446463334,103.7987376
824 JURONG WEST ST 81,1.346400047,103.6941394
824 JURONG WEST ST 81,1.346399609,103.6941378
244 COMPASSVALE RD,1.393379032,103.8988871
120 POTONG PASIR AVE 1,1.335453532,103.863388
842 JURONG WEST ST 81,1.344478546,103.6934788
431A YISHUN AVE 1,1.419606825,103.8472882
371 TAMPINES ST 34,1.357090895,103.9585977
102 ALJUNIED CRES,1.32043903,103.8824204
102 ALJUNIED CRES,1.320480871,103.8824728
608 CLEMENTI WEST ST 1,1.304341103,103.7665298
192 BT BATOK WEST AVE 6,1.345592352,103.7447894
675B JURONG WEST ST 64,1.345753081,103.7036418
504 BT BATOK ST 52,1.351965603,103.7549837
224A COMPASSVALE WALK,1.387882299,103.8980191
39 BEDOK STH RD,1.321397663,103.9397304
240 BISHAN ST 22,1.360844439,103.8451812
75 WHAMPOA DR,1.324418755,103.8581851
210B COMPASSVALE LANE,1.384522622,103.8997617
152 YISHUN ST 11,1.431039775,103.834755
921 JURONG WEST ST 92,1.339546948,103.6889051
315 SERANGOON AVE 2,1.352934458,103.8659708
248 BT BATOK EAST AVE 5,1.350258841,103.7566047
216B BOON LAY AVE,1.350453196,103.712257
556 WOODLANDS DR 53,1.432927729,103.7960128
556 WOODLANDS DR 53,1.432587089,103.7967075
89 DAWSON RD,1.295463169,103.8117852
704 CHOA CHU KANG ST 53,1.390458744,103.7457195
704 CHOA CHU KANG ST 53,1.390443299,103.745744
133 SIMEI ST 1,1.347313666,103.9556785
944 TAMPINES AVE 5,1.350708231,103.9408562
145 PASIR RIS ST 11,1.363219452,103.9608319
527 WOODLANDS DR 14,1.43173161,103.7921062
868 YISHUN ST 81,1.413823322,103.8373383
108B MCNAIR RD,1.319981244,103.8590051
172B EDGEDALE PLAINS,1.395724021,103.9118054
172B EDGEDALE PLAINS,1.395724015,103.9118054
317B ANCHORVALE RD,1.393862322,103.8885403
53 KENT RD,1.316525427,103.852092
431D YISHUN AVE 1,1.419969058,103.8469695
141 PETIR RD,1.375871547,103.7681357
141 PETIR RD,1.375871562,103.7681357
150 SILAT AVE,1.277077069,103.8314259
150 SILAT AVE,1.277077068,103.8314259
2 HOUGANG AVE 3,1.363137208,103.8931845
5 TELOK BLANGAH CRES,1.278724029,103.8192204
119D RIVERVALE DR,1.38530593,103.9036099
688C WOODLANDS DR 75,1.443409491,103.8073026
688C WOODLANDS DR 75,1.443281519,103.8072938
424C YISHUN AVE 11,1.423258712,103.849155
490C CHOA CHU KANG AVE 5,1.375750144,103.7417518
903 JURONG WEST ST 91,1.33971748,103.6860611
410 PANDAN GDNS,1.319009211,103.7474331
502 JELAPANG RD,1.383717213,103.7667508
683B CHOA CHU KANG CRES,1.403766711,103.7462579
221 SIMEI ST 4,1.341672665,103.9565424
596A ANG MO KIO ST 52,1.37243024,103.8509492
303 CANBERRA RD,1.444689924,103.8224416
303 CANBERRA RD,1.444689922,103.8224416
714 CLEMENTI WEST ST 2,1.304304597,103.7616832
