flat,mrt,mrt_dist,num_mrt_2km
684B EDGEDALE PLAINS,OASIS LRT STATION,0.26894434236564896,18
630 PASIR RIS DR 3,PASIR RIS MRT STATION,1.0846850642435537,1
118 MARSILING RISE,WOODLANDS MRT STATION,0.7037565466793223,5
42 JLN BAHAGIA,BOON KENG MRT STATION,1.0053260303230604,8
930 YISHUN CTRL 1,YISHUN MRT STATION,0.38251196519489694,3
654C JURONG WEST ST 61,PIONEER MRT STATION,0.19278349301073774,2
311 SHUNFU RD,MARYMOUNT MRT STATION,0.24066557918452133,5
17 CANTONMENT CL,OUTRAM PARK MRT STATION,0.6562889697104907,13
565 PASIR RIS ST 51,PASIR RIS MRT STATION,0.47455622261080027,4
478 SEMBAWANG DR,SEMBAWANG MRT STATION,0.5464259196801592,2
75 BEDOK NTH RD,TANAH MERAH MRT STATION,0.4711850802505501,4
284 YISHUN AVE 6,CANBERRA MRT STATION,1.0832472270471116,2
302 HOUGANG AVE 5,HOUGANG MRT STATION,0.393881253545847,5
253 YISHUN RING RD,YISHUN MRT STATION,0.896121178939524,2
472C FERNVALE ST,KUPANG LRT STATION,0.20995906549459897,11
668A JURONG WEST ST 64,BOON LAY MRT STATION,0.5056295432972409,2
31 TELOK BLANGAH RISE,HARBOURFRONT MRT STATION,0.7687318439732979,6
26 JLN BERSEH,JALAN BESAR MRT STATION,0.2699803447198404,23
602 HOUGANG AVE 4,HOUGANG MRT STATION,0.606064125597677,5
232 BISHAN ST 22,BISHAN MRT STATION,0.8677019046806057,5
954 HOUGANG AVE 9,TONGKANG LRT STATION,1.6354688854511958,7
70B TELOK BLANGAH HTS,TELOK BLANGAH MRT STATION,0.668796040404012,5
688A CHOA CHU KANG DR,YEW TEE MRT STATION,0.7918984769130594,1
376 CLEMENTI AVE 4,CLEMENTI MRT STATION,0.3800308087716347,2
568 HOUGANG ST 51,BUANGKOK MRT STATION,0.6997831006216465,9
80A LOR 4 TOA PAYOH,TOA PAYOH MRT STATION,0.35404515446345974,7
338C ANCHORVALE CRES,FARMWAY LRT STATION,0.32508103960944285,20
805B KEAT HONG CL,SOUTH VIEW LRT STATION,0.8688170427888173,7
246 YISHUN AVE 9,YISHUN MRT STATION,1.0591071740700655,2
130 BT BATOK WEST AVE 6,BUKIT BATOK MRT STATION,0.4720200178317222,3
472A FERNVALE ST,KUPANG LRT STATION,0.09026602898609469,11
346 UBI AVE 1,UBI MRT STATION,0.44225562622245707,10
115 BEDOK NTH RD,BEDOK RESERVOIR MRT STATION,0.772026156323362,4
5 BOON KENG RD,KALLANG MRT STATION,0.18283046722496432,11
239 PASIR RIS ST 21,PASIR RIS MRT STATION,1.5748645652320705,1
766 CHOA CHU KANG NTH 5,YEW TEE MRT STATION,0.5033630088501619,10
53 LENGKOK BAHRU,REDHILL MRT STATION,0.3833425204389985,3
141 TAMPINES ST 12,TAMPINES MRT STATION,0.5590979855579683,7
454 CHOA CHU KANG AVE 4,SOUTH VIEW LRT STATION,1.1769679189165785,4
205 PASIR RIS ST 21,TAMPINES EAST MRT STATION,1.507654692607976,2
218B BOON LAY AVE,LAKESIDE MRT STATION,1.3082073750378596,2
135 CASHEW RD,PENDING LRT STATION,0.35371189339988685,14
807 WOODLANDS ST 81,WOODLANDS MRT STATION,0.6061292689194194,6
210A COMPASSVALE LANE,KANGKAR LRT STATION,0.24540828661224356,16
818B CHOA CHU KANG AVE 1,KEAT HONG LRT STATION,0.17256190514292935,10
22 BOON KENG RD,BOON KENG MRT STATION,0.13825673171355088,12
