flat,school,school_dist,num_school_2km
684B EDGEDALE PLAINS,Horizon Primary School,0.42374292661705276,16
630 PASIR RIS DR 3,Park View Primary School,0.20545709949674776,6
118 MARSILING RISE,Fuchun Primary School,0.9014875468466751,14
42 JLN BAHAGIA,Hong Wen School,0.6005717072854837,14
930 YISHUN CTRL 1,Xishan Primary School,0.7263658781560391,14
654C JURONG WEST ST 61,Frontier Primary School,0.2753080671165565,11
311 SHUNFU RD,Catholic High School (Primary),0.666481222181633,10
17 CANTONMENT CL,Cantonment Primary School,0.18148509923049194,5
565 PASIR RIS ST 51,Casuarina Primary School,0.8493422844454509,17
478 SEMBAWANG DR,Canberra Primary School,0.15024565033480017,10
75 BEDOK NTH RD,Bedok Green Primary School,0.6852138390380904,10
284 YISHUN AVE 6,Chongfu School,0.13933582825098928,10
302 HOUGANG AVE 5,Holy Innocents' Primary School,0.18233044464520687,13
253 YISHUN RING RD,Xishan Primary School,0.381894683699879,11
472C FERNVALE ST,Sengkang Green Primary School,0.7652283944206965,7
668A JURONG WEST ST 64,West Grove Primary School,0.5230457879792898,15
31 TELOK BLANGAH RISE,Radin Mas Primary School,0.46866556639647877,7
26 JLN BERSEH,Stamford Primary School,0.30150409632807285,11
602 HOUGANG AVE 4,Montfort Junior School,0.39095069581453723,14
232 BISHAN ST 22,Catholic High School (Primary),0.4500675588241227,10
954 HOUGANG AVE 9,Hougang Primary School,0.3078617945815859,12
70B TELOK BLANGAH HTS,Blangah Rise Primary School,0.22397455050958592,7
688A CHOA CHU KANG DR,Unity Primary School,0.43429440328122854,4
376 CLEMENTI AVE 4,Pei Tong Primary School,0.17908037427260612,7
568 HOUGANG ST 51,Yio Chu Kang Primary School,0.3728169717080395,18
80A LOR 4 TOA PAYOH,Kheng Cheng School,0.3224928704568582,16
338C ANCHORVALE CRES,Springdale Primary School,0.5896588426178808,21
805B KEAT HONG CL,Chua Chu Kang Primary School,0.5733829720171463,8
246 YISHUN AVE 9,Chongfu School,0.5245717744841405,11
130 BT BATOK WEST AVE 6,Princess Elizabeth Primary School,0.5762406154478992,12
472A FERNVALE ST,Sengkang Green Primary School,0.8471949750047552,7
346 UBI AVE 1,Maha Bodhi School,0.3293617577875194,9
115 BEDOK NTH RD,Red Swastika School,0.3456826247624412,17
5 BOON KENG RD,Bendemeer Primary School,1.2870283075058175,8
239 PASIR RIS ST 21,Pasir Ris Primary School,0.10706579117535193,4
766 CHOA CHU KANG NTH 5,Kranji Primary School,0.2597170159387881,11
53 LENGKOK BAHRU,Gan Eng Seng Primary School,0.4286811345314906,8
141 TAMPINES ST 12,Tampines Primary School,0.19749708679545327,26
454 CHOA CHU KANG AVE 4,Concord Primary School,0.19275928344381701,5
205 PASIR RIS ST 21,White Sands Primary School,0.27174119361446153,11
218B BOON LAY AVE,Corporation Primary School,0.3741436694956321,13
135 CASHEW RD,Bukit Panjang Primary School,0.07213812924829657,10
807 WOODLANDS ST 81,Qihua Primary School,0.0948339928456403,20
210A COMPASSVALE LANE,North Spring Primary School,0.4257786495619158,24
818B CHOA CHU KANG AVE 1,South View Primary School,0.5365604033195652,11
22 BOON KENG RD,Hong Wen School,0.5775362318387024,8
451 JURONG WEST ST 42,Rulang Primary School,0.5683822450389893,8
81 C'WEALTH CL,New Town Primary School,0.45947640592433187,4
369 BT BATOK ST 31,Dazhong Primary School,0.3042421248169003,9
310A ANG MO KIO AVE 1,Ang Mo Kio Primary School,0.6828917972425813,9
666A JURONG WEST ST 65,Jurong West Primary School,0.29408745610278564,14
284 TAMPINES ST 22,Angsana Primary School,0.1097315073780611,21
188D RIVERVALE DR,Rivervale Primary School,0.1813017567208582,28
59C GEYLANG BAHRU,Bendemeer Primary School,0.34736911598537223,9
200D SENGKANG EAST RD,Palm View Primary School,0.42773858984321017,22
14 GHIM MOH RD,Fairfield Methodist School (Primary),0.9595480776831297,4
702 BEDOK RESERVOIR RD,Damai Primary School,0.32663554986004,7
232 BT BATOK EAST AVE 5,Bukit View Primary School,0.40968054175911345,11
216D COMPASSVALE DR,Nan Chiau Primary School,0.43845695102075705,24
212 TAMPINES ST 23,Chongzheng Primary School,0.5307285548761169,23
367A TAMPINES ST 34,East Spring Primary School,0.5870760486740617,19
365 CORPORATION DR,Lakeside Primary School,0.23908709159199612,9
686 HOUGANG ST 61,Yio Chu Kang Primary School,0.24321059388185054,15
447 BT PANJANG RING RD,Beacon Primary School,0.24121059777720075,10
158B RIVERVALE CRES,North Spring Primary School,0.41445331987163264,26
273C JURONG WEST AVE 3,Corporation Primary School,0.40960823160230747,10
407 SEMBAWANG DR,Endeavour Primary School,0.10298823431609841,8
411 SEMBAWANG DR,Endeavour Primary School,0.21091281459548025,8
491G TAMPINES ST 45,Tampines Primary School,0.7090392012336307,22
897B WOODLANDS DR 50,Woodlands Primary School,0.25254905655904364,19
932 TAMPINES ST 91,Junyuan Primary School,0.25135660374638596,28
624 YISHUN RING RD,Naval Base Primary School,0.4075089499097434,12
122 TECK WHYE LANE,South View Primary School,0.4884491122064558,11
663A PUNGGOL DR,Waterway Primary School,0.23222224912641784,11
187 BT BATOK WEST AVE 6,Princess Elizabeth Primary School,0.49851832417589637,11
104 BISHAN ST 12,Guangyang Primary School,0.15807636935959846,15
427 SERANGOON CTRL,Maris Stella High School,0.6985834746155597,12
233 LOR 8 TOA PAYOH,Pei Chun Public School,0.33619322861312545,19
230 BT BATOK EAST AVE 3,Bukit View Primary School,0.2528272639920672,11
151 BISHAN ST 11,Kuo Chuan Presbyterian Primary School,0.47928283075950173,17
350 ANG MO KIO ST 32,Teck Ghee Primary School,0.23085208919108996,14
459 TAMPINES ST 42,Gongshang Primary School,0.5664348110233539,20
260 JURONG EAST ST 24,Yuhua Primary School,0.14138945965319355,11
157D RIVERVALE CRES,North Spring Primary School,0.5337119074712962,25
464 PASIR RIS ST 41,Casuarina Primary School,0.1509184167636497,11
330 SERANGOON AVE 3,Yangzheng Primary School,0.17881868279266225,16
10 CHAI CHEE RD,Opera Estate Primary School,0.8163874380250197,10
356B ADMIRALTY DR,Canberra Primary School,0.2801107549209293,10
469A SENGKANG WEST WAY,Sengkang Green Primary School,0.46406592769433813,6
698B JURONG WEST CTRL 3,Boon Lay Garden Primary School,0.6429401115368469,13
201 BOON LAY DR,Boon Lay Garden Primary School,0.23735232908659912,13
25 SIN MING RD,Catholic High School (Primary),0.7527462448240563,9
225 LOR 8 TOA PAYOH,First Toa Payoh Primary School,0.09091820797578672,16
562 HOUGANG ST 51,Palm View Primary School,0.40022331917127485,20
27 TOA PAYOH EAST,Pei Chun Public School,0.5112802352692074,16
607 JURONG WEST ST 65,Frontier Primary School,0.14727335288736734,12
604 CHOA CHU KANG ST 62,De La Salle School,0.4169641755240295,7
51 CHAI CHEE ST,Damai Primary School,0.741539602613751,10
5 TOH YI DR,Pei Hwa Presbyterian Primary School,0.17690454033818492,3
127 BT MERAH LANE 1,Blangah Rise Primary School,1.1696857393748303,5
604 JURONG WEST ST 62,Jurong West Primary School,0.15529437790811026,12
428 ANG MO KIO AVE 3,Jing Shan Primary School,0.44389196012182397,11
238 CHOA CHU KANG CTRL,South View Primary School,0.3521358691271517,12
17 LOR 7 TOA PAYOH,Pei Chun Public School,0.14625683936105766,18
171 LOR 1 TOA PAYOH,CHIJ Primary (Toa Payoh),0.24579384494915177,14
642D PUNGGOL DR,Horizon Primary School,0.2840915328953781,16
854 YISHUN RING RD,Naval Base Primary School,0.158112122972214,12
770 WOODLANDS DR 60,Riverside Primary School,0.3503556023931986,16
