flat,school,school_dist,num_school_2km,mrt,mrt_dist,num_mrt_2km,supermarket_dist,num_supermarket_2km,dist_dhoby
684B EDGEDALE PLAINS,Horizon Primary School,0.4237429266170527,16,OASIS LRT STATION,0.2689443423656489,18,0.4112209167997943,12,13.846864961253635
630 PASIR RIS DR 3,Park View Primary School,0.2054570994967477,6,PASIR RIS MRT STATION,1.0846850642435537,1,0.1010665508689267,6,13.789367226299921
118 MARSILING RISE,Fuchun Primary School,0.9014875468466752,14,WOODLANDS MRT STATION,0.7037565466793223,5,0.805408735003739,8,17.00015550342259
42 JLN BAHAGIA,Hong Wen School,0.6005717072854837,14,BOON KENG MRT STATION,1.0053260303230604,8,0.2831541947449711,22,3.3416685389833445
930 YISHUN CTRL 1,Xishan Primary School,0.7263658781560391,14,YISHUN MRT STATION,0.3825119651948969,3,0.0699176797187851,15,14.13778277707094
654C JURONG WEST ST 61,Frontier Primary School,0.2753080671165565,11,PIONEER MRT STATION,0.1927834930107377,2,0.3753157254745532,8,16.958304651584434
311 SHUNFU RD,Catholic High School (Primary),0.666481222181633,10,MARYMOUNT MRT STATION,0.2406655791845213,5,0.3808813310127855,10,5.741065602042535
17 CANTONMENT CL,Cantonment Primary School,0.1814850992304919,5,OUTRAM PARK MRT STATION,0.6562889697104907,13,0.4302143356505377,15,2.8809603940000468
565 PASIR RIS ST 51,Casuarina Primary School,0.8493422844454509,17,PASIR RIS MRT STATION,0.4745562226108002,4,0.2807378054850486,17,13.98816742797802
478 SEMBAWANG DR,Canberra Primary School,0.1502456503348001,10,SEMBAWANG MRT STATION,0.5464259196801592,2,0.1061433235149006,13,17.234482154936913
75 BEDOK NTH RD,Bedok Green Primary School,0.6852138390380904,10,TANAH MERAH MRT STATION,0.4711850802505501,4,0.4099915600909965,16,11.234054600749984
284 YISHUN AVE 6,Chongfu School,0.1393358282509892,10,CANBERRA MRT STATION,1.0832472270471116,2,0.4190643660906255,11,15.540297995113296
302 HOUGANG AVE 5,Holy Innocents' Primary School,0.1823304446452068,13,HOUGANG MRT STATION,0.393881253545847,5,0.2634378334411213,16,9.416379496342447
253 YISHUN RING RD,Xishan Primary School,0.381894683699879,11,YISHUN MRT STATION,0.896121178939524,2,0.2043301962081911,12,15.020708141716304
472C FERNVALE ST,Sengkang Green Primary School,0.7652291662187286,7,KUPANG LRT STATION,0.2099594143606292,11,0.1743472036083573,9,11.445799746739322
668A JURONG WEST ST 64,West Grove Primary School,0.5230457879792898,15,BOON LAY MRT STATION,0.5056295432972409,2,0.3911509843314215,9,16.530999702767822
31 TELOK BLANGAH RISE,Radin Mas Primary School,0.4686655663964787,7,HARBOURFRONT MRT STATION,0.7687318439732979,6,0.6195389744411399,12,4.032381985642207
26 JLN BERSEH,Stamford Primary School,0.3015040963280728,11,JALAN BESAR MRT STATION,0.2699803447198404,23,0.1264138959891921,26,1.5834588027086864
602 HOUGANG AVE 4,Montfort Junior School,0.3909506958145372,14,HOUGANG MRT STATION,0.606064125597677,5,0.2379758744232957,20,9.204310636362374
232 BISHAN ST 22,Catholic High School (Primary),0.456206349335243,10,BISHAN MRT STATION,0.8560203285057497,5,0.237235975787529,16,6.515519514939613
954 HOUGANG AVE 9,Hougang Primary School,0.3078617945815859,12,TONGKANG LRT STATION,1.6354688854511958,7,0.1971011011122944,18,9.311021333021548
70B TELOK BLANGAH HTS,Blangah Rise Primary School,0.2239745505095859,7,TELOK BLANGAH MRT STATION,0.668796040404012,5,0.4176365504535302,14,4.6014208743773795
688A CHOA CHU KANG DR,Unity Primary School,0.4342944032812285,4,YEW TEE MRT STATION,0.7918984769130594,1,0.8992324180539817,6,15.653550554379612
376 CLEMENTI AVE 4,Pei Tong Primary School,0.1790803742726061,7,CLEMENTI MRT STATION,0.3800308087716347,2,0.2689416972243071,13,8.990037831354112
568 HOUGANG ST 51,Yio Chu Kang Primary School,0.3728169717080395,18,BUANGKOK MRT STATION,0.6997831006216465,9,0.185883919387077,17,9.977378585460634
80A LOR 4 TOA PAYOH,Kheng Cheng School,0.3224928704568582,16,TOA PAYOH MRT STATION,0.3540451544634597,7,0.2712940112677557,19,4.003886586585081
338C ANCHORVALE CRES,Springdale Primary School,0.5896588426178808,21,FARMWAY LRT STATION,0.3250810396094428,20,0.360472810035833,14,12.199077997791328
805B KEAT HONG CL,Chua Chu Kang Primary School,0.5733829720171463,8,SOUTH VIEW LRT STATION,0.8688170427888173,7,0.5288830174643474,11,13.968661049953262
246 YISHUN AVE 9,Chongfu School,0.5245717744841405,11,YISHUN MRT STATION,1.0591071740700655,2,0.3759459983218275,11,15.016951971206362
