flat,supermarket_dist,num_supermarket_2km
684B EDGEDALE PLAINS,0.41122091679979433,12
630 PASIR RIS DR 3,0.10106655086892671,6
118 MARSILING RISE,0.805408735003739,8
42 JLN BAHAGIA,0.28315419474497117,22
930 YISHUN CTRL 1,0.06991767971878514,15
654C JURONG WEST ST 61,0.3753157254745532,8
311 SHUNFU RD,0.38088133101278554,10
17 CANTONMENT CL,0.43021433565053774,15
565 PASIR RIS ST 51,0.2807378054850486,17
478 SEMBAWANG DR,0.10614332351490062,13
75 BEDOK NTH RD,0.4099915600909965,16
284 YISHUN AVE 6,0.41906436609062553,11
302 HOUGANG AVE 5,0.26343783344112137,16
253 YISHUN RING RD,0.20433019620819112,12
472C FERNVALE ST,0.17434720360835732,9
668A JURONG WEST ST 64,0.3911509843314215,9
31 TELOK BLANGAH RISE,0.6195389744411399,12
26 JLN BERSEH,0.1264138959891921,26
602 HOUGANG AVE 4,0.2379758744232957,20
232 BISHAN ST 22,0.237235975787529,16
954 HOUGANG AVE 9,0.19710110111229448,18
70B TELOK BLANGAH HTS,0.4176365504535302,14
688A CHOA CHU KANG DR,0.8992324180539817,6
376 CLEMENTI AVE 4,0.2689416972243071,13
568 HOUGANG ST 51,0.18588391938707707,17
80A LOR 4 TOA PAYOH,0.2712940112677557,19
338C ANCHORVALE CRES,0.360472810035833,14
805B KEAT HONG CL,0.5288830174643474,11
246 YISHUN AVE 9,0.3759459983218275,11
130 BT BATOK WEST AVE 6,0.3713554266111512,19
472A FERNVALE ST,0.05944538780639976,10
346 UBI AVE 1,0.49812126070851925,21
115 BEDOK NTH RD,0.0,20
5 BOON KENG RD,0.0057783979898746035,27
239 PASIR RIS ST 21,0.3877427142805078,9
766 CHOA CHU KANG NTH 5,0.5199274647130845,12
53 LENGKOK BAHRU,0.25597444024671245,17
141 TAMPINES ST 12,0.331500294735228,18
454 CHOA CHU KANG AVE 4,0.48196956968093063,7
205 PASIR RIS ST 21,0.18931281204794853,11
218B BOON LAY AVE,0.4735304269103589,9
135 CASHEW RD,0.5613600799632684,12
807 WOODLANDS ST 81,0.383551438486957,15
210A COMPASSVALE LANE,0.2225838613537651,15
818B CHOA CHU KANG AVE 1,0.4339836707628891,13
22 BOON KENG RD,0.4421520800457385,29
451 JURONG WEST ST 42,0.11766893193370712,9
81 C'WEALTH CL,0.3265105266766472,14
369 BT BATOK ST 31,0.1432648566417135,13
310A ANG MO KIO AVE 1,0.28878838764623166,17
666A JURONG WEST ST 65,0.44478047942333315,8
284 TAMPINES ST 22,0.20172354547893168,13
188D RIVERVALE DR,0.30688181325961883,20
59C GEYLANG BAHRU,0.24972429844094166,25
200D SENGKANG EAST RD,0.11535495502548457,18
14 GHIM MOH RD,0.15264298324110076,13
702 BEDOK RESERVOIR RD,0.3187642609649627,16
232 BT BATOK EAST AVE 5,0.2956913811034835,17
216D COMPASSVALE DR,0.4740341628344413,17
212 TAMPINES ST 23,0.18926116545854968,16
