SEARCHVAL,LATITUDE,LONGITUDE
AYER RAJAH MARKET,1.311906957,103.759128
OCBC WEST COAST DRIVE - FAIRPRICE,1.311933881,103.7590805
MAGHAIN ABOTH SYNAGOGUE,1.298246538,103.8506833
WOODLANDS DORMITORY,1.454723655,103.8045853
UOB I12 KATONG AUTOLOBBY,1.305223062,103.9050439
GOLDEN VILLAGE (GV KATONG),1.305224616,103.9051019
112 KATONG,1.305206536,103.9050461
DBS 112 KATONG,1.305158419,103.9050669
PUNGGOL SPECTRA,1.40053115,103.9105369
DBS MIGRANT WORKERS' CENTRE RECREATION CLUB,1.33212291,103.6990703
MIGRANT WORKERS' CENTRE RECREATION CLUB,1.332636985,103.6991344
DBS NTUC BEDOK NORTH STREET 4,1.332921748,103.9382402
89 BEDOK NORTH STREET 4 SINGAPORE 460089,1.332334683,103.9380513
OCBC BEDOK NORTH ST 4 - FAIRPRICE,1.332956837,103.9382209
THE RAIL MALL,1.360123682,103.7675422
OCBC SUNTECT CITY BRANCH,1.29487905,103.8576755
DBS SUNTEC CITY BASEMENT,1.294885032,103.8577171
HSBC SUNTEC CITY BRANCH,1.294923915,103.8576993
JOSIAH MONTESSORI : CITY CHILDCARE CENTRE,1.295019628,103.8577617
OCBC SUNTECT CITY,1.29487905,103.8576755
SUNTEC CITY MALL,1.295931895,103.8590144
SUNTEC CITY POST OFFICE,1.295032461,103.8598502
GOLDEN VILLAGE (GV SUNTEC CITY),1.294859902,103.8603337
CITIBANK SUNTEC CITY MALL,1.295711525,103.8585526
DBS SUNTEC CITY BRANCH,1.294846149,103.8577052
UOB SUNTEC CITY BRANCH,1.294324165,103.860372
5 ALJUNIED ROAD SINGAPORE 389797,1.31357605,103.8818778
UOB TEBAN GARDENS,1.322318559,103.7384614
MULTI STOREY CAR PARK-TEBAN PLACE,1.322136363,103.7382928
OCBC TEBAN PLACE,1.322332801,103.7384253
DBS TEBAN GARDENS,1.32237497,103.7384128
DBS COCHRANE LODGE II,1.460658672,103.8191747
COCHRANE LODGE II,1.461388544,103.8181113
TUAS TECHPARK,1.311467888,103.63034
OCBC CLEMENTI AVENUE 3 - FAIRPRICE,1.312705512,103.7656803
YAMAHA MUSIC ACADEMY,1.312851481,103.7659727
NATIONAL UNIVERSITY POLYCLINICS (CLEMENTI POLYCLINIC),1.312743802,103.7658467
CLEMENTI POLYCLINIC,1.31248109,103.7654765
DBS NTUC CLEMENTI AVENUE 3,1.312686368,103.7656232
UOB CLEMENTI AVENUE 3,1.312648085,103.7656803
WESTLITE MANDAI DORMITORY,1.407541244,103.7581282
MY FIRST SKOOL,1.331604407,103.8505115
192 LORONG 4 TOA PAYOH SINGAPORE 310192,1.331668148,103.8504872
OCBC TOA PAYOH LORONG 4 - FAIRPRICE,1.331690082,103.8506198
DBS NTUC TOA PAYOH LORONG 6,1.331616833,103.8506237
141 UPPER PAYA LEBAR ROAD SINGAPORE 534846,1.338893877,103.8861149
141A UPPER PAYA LEBAR ROAD SINGAPORE 534846,1.338893877,103.8861149
OCBC STIRLING ROAD - FAIRPRICE,1.290911282,103.8031208
DBS NTUC STIRLING ROAD,1.290911282,103.8031208
STIRLING VIEW,1.290909181,103.8031076
DBS NTUC FRENCH ROAD,1.308782165,103.8613785
OCBC FRENCH ROAD - FAIRPRICE,1.308830021,103.8613547
KITCHENER COMPLEX,1.308806094,103.861312
KINEX,1.314618499,103.894738
DBS ONE KM,1.314618499,103.894738
DNC (EDUCATION) PTE. LTD.,1.314742388,103.8945519
UOB ONE KM,1.314618499,103.894738
OCBC CHANGI BUSINESS PARK - FAIRPRICE,1.334827547,103.9639439
DBS NTUC ESR BIZPARK @ CHANGI,1.334906513,103.9638798
CHANGI LINK @ ESR BIZPARK @ CHANGI,1.334919777,103.9636539
ESR BIZPARK @ CHANGI,1.334822677,103.9639058
GEYLANG CONSERVATION AREA,1.314206082,103.8866995
GEYLANG CONSERVATION AREA,1.314206082,103.8866995
DBS LOYANG POINT,1.367066342,103.9646356
UOB LOYANG POINT,1.367066342,103.9646356
LOYANG POINT,1.367073575,103.9646322
FILMGARDE AT CENTURY SQUARE,1.35227804,103.9437277
MAYBANK OFFSITE@CENTURYSQUARE,1.352291397,103.9438496
CENTURY SQUARE,1.352368296,103.9438123
5 TANJONG PAGAR PLAZA SINGAPORE 081005,1.27624052,103.8430061
TUAS SOUTH DORMITORY,1.271642258,103.6335123
CHANGI CITY POINT,1.334036379,103.9629176
DBS CHANGI CITY POINT,1.334083638,103.962946
DBS NTUC CHANGI CITY POINT,1.334149835,103.9629818
CHANGI CITY,1.334083593,103.9629461
OCBC CHANGI CITY POINT - FAIRPRICE,1.33432516,103.9623893
DBS BEAUTY WORLD CENTRE,1.342412642,103.7765394
BEAUTY WORLD CENTRE,1.342412642,103.7765394
KINDER GROWTH PTE LTD,1.342395088,103.7764683
LEARNING HUB@GRACELAND PTE. LTD.,1.342392845,103.7762505
CATHAY CINEPLEX JEM,1.333328193,103.7433594
DBS NTUC JEM,1.33255233,103.7432622
OCBC JEM - JURONG EAST BRANCH,1.33255233,103.7432622
JEM,1.333293345,103.7432787
UOB JEM BRANCH,1.33255233,103.7432622
OCBC JEM - FAIRPRICE,1.33255233,103.7432622
DBS TANJONG KATONG COMPLEX,1.31630706,103.8943935
TANJONG KATONG COMPLEX,1.316394457,103.8943591
1 LORONG 15 GEYLANG SINGAPORE 388595,1.312829381,103.8781479
OCBC BEDOK RESERVOIR RD - FAIRPRICE,1.337419105,103.921783
DBS NTUC BEDOK RESERVOIR ROAD,1.337419105,103.921783
GRACELAND STUDENT CARE CENTRE (BEDOK),1.337376225,103.9217412
SUNFLOWER PRESCHOOL PTE. LTD.,1.337404713,103.9217747
RESERVOIR VILLAGE,1.337404719,103.9217747
OCBC SERANGOON NORTH AVE 1 - FAIRPRICE,1.369799416,103.8730358
DBS NTUC SERANGOON NORTH AVENUE 4,1.369799416,103.8730358
152B SERANGOON NORTH AVENUE 1 SINGAPORE 552152,1.369799404,103.8730358
SKYVILLE @ DAWSON,1.295319663,103.8097586
OCBC VIVOCITY - FAIRPRICE,1.264304765,103.8223086
HARBOUR FRONT PUBLIC LIBRARY,1.263895812,103.8215892
HSBC VIVOCITY,1.264409139,103.8221717
STANDARD CHARTERED BANK VIVOCITY,1.264304765,103.8223086
VIVOCITY,1.264293168,103.8223047
UOB VIVOCITY,1.264270543,103.8224761
GOLDEN VILLAGE (GV VIVOCITY),1.264313825,103.8220734
MORIAH ASSEMBLY OF GOD,1.264274341,103.8225962
DBS VIVOCITY,1.264344587,103.8224761
UOB VIVO CITY BRANCH,1.264270543,103.8224761
539A BEDOK NORTH STREET 3 SINGAPORE 461539,1.332402306,103.9255006
OCBC BEDOK NORTH,1.332405066,103.9255013
COLD STORAGE JELITA SHOPPING CENTRE,1.31759343,103.7858406
COLD STORAGE JELITA,1.317545559,103.7858505
823 TAMPINES STREET 81 SINGAPORE 520823,1.348744945,103.9340247
VICTORIA MONTESSORI SCHOOLHOUSE PTE. LTD.,1.348732841,103.9340102
OCBC TAMPINES STREET 81 - PRIME SUPERMARKET,1.348732845,103.9340102
360 BALESTIER ROAD SINGAPORE 329783,1.325253018,103.8509958
DBS WESTGATE BR 1,1.33415752,103.7427665
UOB WESTGATE,1.33415752,103.7427665
OCBC WESTGATE,1.33415752,103.7427665
WESTGATE,1.334157676,103.7427665
JURONG EAST POST OFFICE,1.334025296,103.742586
MY FIRST SKOOL,1.334025295,103.742586
982 BUANGKOK CRESCENT SINGAPORE 530982,1.380850355,103.8793091
DBS BUANGKOK CRESCENT,1.380894989,103.8793232
DBS HOUGANG GREEN SHOPPING MALL,1.379317835,103.8878471
JUNIOR CHAMPS EDUCAMPUS PTE. LTD.,1.379245288,103.887832
OCBC HOUGANG GREEN SHOPPING MALL,1.379317835,103.8878471
HOUGANG GREEN SHOPPING MALL,1.379245291,103.887832
MONTE KIDZ WORLD (HOUGANG),1.379245288,103.887832
DBS SHOP N SAVE HOUGANG GREEN SHOPPING MALL,1.379317835,103.8878471
UOB HOUGANG GREEN SHOPPING MALL,1.379317835,103.8878471
KITCHENER COMPLEX,1.308327005,103.8620059
CITIBANK ADMIRALTY SMRT STATION,1.440569731,103.8010493
ADMIRALTY MRT STATION (NS10),1.440588562,103.8009905
OCBC ADMIRALTY MRT,1.440556099,103.800917
DBS ADMIRALTY MRT STATION,1.440569731,103.8010493
UOB ADMIRALTY MRT STATION,1.440569731,103.8010493
PCF SPARKLETOTS PRESCHOOL @ FENGSHAN 115 (CC),1.331433688,103.9368654
115 BEDOK NORTH ROAD SINGAPORE 460115,1.33143368,103.9368654
DBS GREENRIDGE SHOPPING CENTRE,1.385295565,103.7661705
UOB GREENRIDGE SHOPPING CENTRE,1.385405693,103.7662285
AMAZING STAR MONTESSORI HOUSE (GREENRIDGE),1.385295563,103.7661705
GREENRIDGE SHOPPING CENTRE,1.385405693,103.7662285
OCBC GREENRIDGE SHOPPING CENTRE,1.385405693,103.7662285
DBS NTUC MARINE PARADE CENTRAL,1.301419551,103.9071127
6 MARINE PARADE CENTRAL SINGAPORE 449411,1.301347148,103.9071836
OCBC MARINE PARADE CENTRAL - FAIRPRICE,1.30132311,103.907113
CASSIA AT PENJURU,1.318009806,103.7319489
OCBC HOUGANG MALL BRANCH,1.372483087,103.8937881
DBS HOUGANG MALL,1.372483087,103.8937881
CHENG SAN PUBLIC LIBRARY,1.372533156,103.8938835
HOUGANG CENTRAL POST OFFICE,1.372651672,103.8937463
HOUGANG MALL,1.372494938,103.8937756
SUNFLOWER PRESCHOOL @ HOUGANG (PTE. LTD.),1.372311864,103.8936616
UOB HOUGANG MALL,1.372483087,103.8937881
DBS NTUC HOUGANG MALL,1.372483087,103.8937881
GIANT,1.372101699,103.9319999
OCBC WOODLANDS AVE 3 - FAIRPRICE,1.432626035,103.7740512
DBS MARSILING MRT STATION,1.432626035,103.7740512
CITIBANK MARSILING SMRT STATION,1.432626035,103.7740512
MARSILING MRT STATION (NS8),1.432521149,103.7740746
DBS NTUC MARSILING MRT STATION,1.432626035,103.7740512
UOB MARSILING MRT STATION,1.432626035,103.7740512
MINDCHAMPS PRESCHOOL @ BUKIT TIMAH PTE. LIMITED,1.338796735,103.7932561
DBS THE GRANDSTAND,1.337593733,103.7937074
THE GRANDSTAND,1.338577187,103.7934057
THE EXPERIENTIAL LEARNING CENTRE PTE LTD,1.338796735,103.7932561
PEGASUS INTERNATIONAL PREESCHOOL,1.338994629,103.7931338
SUNFLOWER BABY HOUSE PTE. LTD.,1.338796735,103.7932561
SWALLOWS AND AMAZONS KINDERGARTEN,1.338796735,103.7932561
KIDDIWINKIE SCHOOLHOUSE @ GRANDSTAND PTE LTD,1.338796735,103.7932561
KIZROO KINDERGARTEN,1.338796735,103.7932561
32 TUAS VIEW SQUARE SINGAPORE 637778,1.298658064,103.6280881
IBIS STYLES SINGAPORE ON MACPHERSON,1.331723558,103.879538
DBS NTUC MACPHERSON MALL,1.331770545,103.8792945
MACPHERSON MALL,1.331770545,103.8792945
OCBC MACPHERSON MALL - FAIRPRICE,1.331770545,103.8792945
DBS ION ORCHARD,1.304098062,103.8315921
UOB ION ORCHARD,1.304730948,103.8314655
OCBC ION ORCHARD BRANCH,1.303992869,103.8319889
ORCHARD ROAD,1.304097858,103.8322519
CITIBANK ION ORCHARD,1.304191421,103.8315101
ION ORCHARD,1.303979741,103.8320323
OCBC ION ORCHARD,1.303992869,103.8319889
ORCHARD ROAD POST OFFICE,1.304035779,103.8313951
230 GEYLANG ROAD SINGAPORE 389290,1.312088177,103.8773887
DBS NTUC TECK WHYE LANE,1.380030583,103.7531184
140 TECK WHYE LANE SINGAPORE 680140,1.380018058,103.7531484
GRACELAND (CCK) PTE LTD,1.380030578,103.7531184
